%%EvolvingGraph directed
i,j,timestamps,t2,p2,p1,t1
hall,greville,2,1974,generalized inverses: theory and applications,on ranks of integral generalized inverses of integral matrices,1979,
hall,boullion,2,1971,generalized inverse matrices,on ranks of integral generalized inverses of integral matrices,1979,
hall,odell,2,1971,generalized inverse matrices,on ranks of integral generalized inverses of integral matrices,1979,
hall,marcus,2,1964,a survey of matrix theory and matrix inequalities,on ranks of integral generalized inverses of integral matrices,1979,
hall,minc,2,1964,a survey of matrix theory and matrix inequalities,on ranks of integral generalized inverses of integral matrices,1979,
hall,penrose,2,1955,a generalized inverse for matrices,on ranks of integral generalized inverses of integral matrices,1979,
katz,ben-israel,2,1974,generalized inverses: theory and applications,on ranks of integral generalized inverses of integral matrices,1979,
katz,greville,2,1974,generalized inverses: theory and applications,on ranks of integral generalized inverses of integral matrices,1979,
katz,boullion,2,1971,generalized inverse matrices,on ranks of integral generalized inverses of integral matrices,1979,
katz,odell,2,1971,generalized inverse matrices,on ranks of integral generalized inverses of integral matrices,1979,
katz,marcus,2,1964,a survey of matrix theory and matrix inequalities,on ranks of integral generalized inverses of integral matrices,1979,
katz,minc,2,1964,a survey of matrix theory and matrix inequalities,on ranks of integral generalized inverses of integral matrices,1979,
katz,penrose,2,1955,a generalized inverse for matrices,on ranks of integral generalized inverses of integral matrices,1979,
